Unnamed: 0,PMCID,sentence_id,text,start_char_pos,end_char_pos,section,CONSORT_Item,section.1,Prediction
0,PMC4770816,S1,Title,0,5,['Title'],['0'],Title,['0']
1,PMC4770816,S2,Different systolic blood pressure targets for people with history of stroke or transient ischaemic attack: PAST-BP (Prevention After Stroke—Blood Pressure) randomised controlled trial,6,189,['Title'],['1a'],Title,['0']
2,PMC4770816,S3,Abstract,190,198,['Abstract'],['0'],Abstract,['0']
3,PMC4770816,S4,Objective To assess whether using intensive blood pressure targets leads to lower blood pressure in a community population of people with prevalent cerebrovascular disease.,208,380,['Abstract'],['1b'],Abstract,['0']
4,PMC4770816,S5,Design Open label randomised controlled trial.,389,435,['Abstract'],['0'],Abstract,['0']
5,PMC4770816,S6,"Setting 99 general practices in England, with participants recruited in 2009-11.",444,524,['Abstract'],['0'],Abstract,['0']
6,PMC4770816,S7,Participants People with a history of stroke or transient ischaemic attack whose systolic blood pressure was 125 mm Hg or above.,533,661,['Abstract'],['0'],Abstract,['0']
7,PMC4770816,S8,Interventions Intensive systolic blood pressure target (<130 mm Hg or 10 mm Hg reduction from baseline if this was <140 mm Hg) or standard target (<140 mm Hg).,670,829,['Abstract'],['0'],Abstract,['0']
8,PMC4770816,S9,"Apart from the different target, patients in both arms were actively managed in the same way with regular reviews by the primary care team.",830,969,['Abstract'],['0'],Abstract,['0']
9,PMC4770816,S10,Main outcome measure Change in systolic blood pressure between baseline and 12 months.,978,1064,['Abstract'],['0'],Abstract,['0']
10,PMC4770816,S11,"Results 529 patients (mean age 72) were enrolled, 266 to the intensive target arm and 263 to the standard target arm, of whom 379 were included in the primary analysis (182 (68%) intensive arm; 197 (75%) standard arm).",1073,1291,['Abstract'],['0'],Abstract,['0']
11,PMC4770816,S12,84 patients withdrew from the study during the follow-up period (52 intensive arm; 32 standard arm).,1292,1392,['Abstract'],['0'],Abstract,['0']
12,PMC4770816,S13,Mean systolic blood pressure dropped by 16.1 mm Hg to 127.4 mm Hg in the intensive target arm and by 12.8 mm Hg to 129.4 mm Hg in the standard arm (difference between groups 2.9 (95% confidence interval 0.2 to 5.7) mm Hg; P=0.03).,1393,1623,['Abstract'],['0'],Abstract,['0']
13,PMC4770816,S14,Conclusions Aiming for target below 130 mm Hg rather than 140 mm Hg for systolic blood pressure in people with cerebrovascular disease in primary care led to a small additional reduction in blood pressure.,1632,1837,['Abstract'],['0'],Abstract,['0']
14,PMC4770816,S15,Active management of systolic blood pressure in this population using a <140 mm Hg target led to a clinically important reduction in blood pressure.,1838,1986,['Abstract'],['0'],Abstract,['0']
15,PMC4770816,S16,Trial registration Current Controlled Trials ISRCTN29062286.,1995,2055,['Abstract'],['23'],Abstract,['0']
16,PMC4770816,S17,Introduction,2076,2088,['Introduction'],['0'],Introduction,['0']
17,PMC4770816,S18,Stroke accounts for about 10% of deaths internationally and for more than 4% of direct healthcare costs in developed countries.1,2095,2223,['Introduction'],['0'],Introduction,['0']
18,PMC4770816,S19,"If other resources, such as lost productivity, benefit payments, and informal care costs, are taken into account, the total costs double.",2224,2361,['Introduction'],['0'],Introduction,['0']
19,PMC4770816,S20,"For example, in the United Kingdom, annual care costs are around £4.4bn (€5.7bn; $6.4bn), but total costs are £9bn a year.2",2362,2485,['Introduction'],['0'],Introduction,['0']
20,PMC4770816,S21,"More than 20% of strokes are recurrent events,3 and if one also takes into account previous history of transient ischaemic attack (TIA), this figure rises to about 30%.1",2486,2655,['Introduction'],['0'],Introduction,['0']
21,PMC4770816,S22,"Therefore, secondary prevention has a major potential role to play in reducing both morbidity and costs of stroke care.",2656,2775,['Introduction'],['2a'],Introduction,['0']
22,PMC4770816,S23,Hypertension is a key risk factor for stroke.,2776,2821,['Introduction'],['0'],Introduction,['0']
23,PMC4770816,S24,A 20 mm Hg difference in usual systolic blood pressure is associated with a 60% lower risk of death from stroke in someone aged 50-70 years and a 50% lower risk in someone aged 70-79.4,2822,3006,['Introduction'],['0'],Introduction,['0']
24,PMC4770816,S25,The PROGRESS trial showed that treatment to lower blood pressure in people who have had a stroke or TIA reduces the risk of further stroke.5,3013,3153,['Introduction'],['0'],Introduction,['0']
25,PMC4770816,S26,"However, the best way to apply this evidence in clinical practice is debated.6 7",3154,3234,['Introduction'],['2a'],Introduction,['0']
26,PMC4770816,S27,"In particular, uncertainty exists about how intensively to lower blood pressure in people who have had a stroke or TIA.8",3235,3355,['Introduction'],['0'],Introduction,['0']
27,PMC4770816,S28,A post hoc observational analysis of the PROFESS trial found that people with recent ischaemic stroke whose systolic blood pressure was less than 130 mm Hg had a higher risk of vascular events than those with a blood pressure between 1300 and 140 mm Hg.9,3356,3610,['Introduction'],['0'],Introduction,['0']
28,PMC4770816,S29,"Conversely, participants in PROGRESS whose baseline systolic blood pressure was 120-140 mm Hg and who were randomised to combination therapy had a significantly reduced risk of stroke.10",3611,3797,['Introduction'],['0'],Introduction,['0']
